UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
1,0,14 32 20,-92 13 41,-92.228056,14.538889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Suchiate,87
4,78002,14 35 12,-92 16 15,-92.270833,14.586667,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Suchiate,87
16,78000,14 37 54,-92 16 04,-92.267778,14.631667,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Suchiate,87
107,77973,14 49 44,-92 31 54,-92.531667,14.828889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Mazatán,54
140,77964,14 52 36,-92 34 29,-92.574722,14.876667,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Mazatán,54
268,77928,15 01 12,-92 42 15,-92.704167,15.02,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Villa Comaltitlán,71
272,77930,15 00 51,-92 36 43,-92.611944,15.014167,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Huixtla,40
288,77938,14 59 25,-92 14 34,-92.242778,14.990278,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Tapachula,89
318,0,15 04 04,-92 44 50,-92.747222,15.067778,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Acapetahua,3
380,77897,15 06 56,-92 47 26,-92.790556,15.115556,Chiapas,SURESTE,IMyCA,true,false,true,false,false,false,false,false,,1,,Acapetahua,3
382,77898,15 06 45,-92 44 40,-92.744444,15.1125,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Villa Comaltitlán,71
384,77899,15 06 35,-92 41 53,-92.698056,15.109722,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Villa Comaltitlán,71
446,77880,15 09 48,-92 50 01,-92.833611,15.163333,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Acapetahua,3
450,77882,15 09 27,-92 44 29,-92.741389,15.1575,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Acapetahua,3
515,77864,15 12 29,-92 49 51,-92.830833,15.208056,Chiapas,SURESTE,IMyCA,true,false,true,false,false,false,false,false,,1,,Acapetahua,3
581,77846,15 15 31,-92 55 13,-92.920278,15.258611,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Mapastepec,51
609,77860,15 13 03,-92 16 24,-92.273333,15.2175,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Motozintla,57
649,77828,15 18 33,-93 00 35,-93.009722,15.309167,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Mapastepec,51
651,77829,15 18 23,-92 57 49,-92.963611,15.306389,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Mapastepec,51
683,77845,15 15 33,-92 13 26,-92.223889,15.259167,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Motozintla,57
806,77791,15 23 46,-92 57 28,-92.957778,15.396111,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Mapastepec,51
818,77797,15 22 44,-92 40 48,-92.68,15.378889,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Acacoyagua,1
820,77798,15 22 34,-92 38 02,-92.633889,15.376111,Chiapas,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Acacoyagua,1
903,77775,15 25 36,-92 43 24,-92.723333,15.426667,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Acacoyagua,1
913,77780,15 24 43,-92 29 31,-92.491944,15.411944,Chiapas,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Escuintla,32
923,0,15 23 49,-92 15 38,-92.260556,15.396944,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Motozintla,57
978,77742,15 30 00,-93 11 00,-93.183333,15.5,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
980,77743,15 29 50,-93 08 14,-93.137222,15.497222,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
990,77748,15 28 60,-92 54 20,-92.905556,15.483333,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Mapastepec,51
992,77749,15 28 49,-92 51 33,-92.859167,15.480278,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Mapastepec,51
1010,77758,15 27 14,-92 26 33,-92.4425,15.453889,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Siltepec,80
1012,77759,15 27 03,-92 23 47,-92.396389,15.450833,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Siltepec,80
1084,77706,15 42 42,-96 39 36,-96.66,15.711667,Oaxaca,CENTRO - SUR,IMyCA,true,false,false,false,false,false,false,false,,1,,Santa María Tonameca,439
1103,77716,15 33 02,-93 16 24,-93.273333,15.550556,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
1105,77717,15 32 52,-93 13 37,-93.226944,15.547778,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
1127,77728,15 30 60,-92 43 03,-92.7175,15.516667,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Mapastepec,51
1137,77733,15 30 07,-92 29 09,-92.485833,15.501944,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Siltepec,80
1147,77738,15 29 12,-92 15 16,-92.254444,15.486667,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Siltepec,80
1239,77662,15 45 47,-96 50 39,-96.844167,15.763056,Oaxaca,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,Santa María Tonameca,439
1243,77664,15 45 36,-96 45 04,-96.751111,15.76,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Santa María Tonameca,439
1271,77678,15 35 53,-93 19 01,-93.316944,15.598056,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Pijijiapan,69
1279,77682,15 35 14,-93 07 53,-93.131389,15.587222,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Pijijiapan,69
1283,77684,15 34 54,-93 02 19,-93.038611,15.581667,Chiapas,SURESTE,INFYS,true,false,true,true,true,false,false,false,,1,,Pijijiapan,69
1289,77687,15 34 23,-92 53 59,-92.899722,15.573056,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Mapastepec,51
1309,77697,15 32 38,-92 26 11,-92.436389,15.543889,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Siltepec,80
1319,77702,15 31 43,-92 12 18,-92.205,15.528611,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,La Grandeza,36
1323,77704,15 31 21,-92 06 44,-92.112222,15.5225,Chiapas,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Amatenango de la Frontera,6
1463,0,15 38 45,-93 21 37,-93.360278,15.645833,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
1483,77642,15 37 05,-92 53 48,-92.896667,15.618056,Chiapas,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Mapastepec,51
1493,77647,15 36 13,-92 39 54,-92.665,15.603611,Chiapas,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Siltepec,80
1503,77652,15 35 19,-92 26 00,-92.433333,15.588611,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Siltepec,80
1513,77657,15 34 25,-92 12 06,-92.201667,15.573611,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Bella Vista,11
1644,77565,15 50 48,-96 39 17,-96.654722,15.846667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,Santo Domingo de Morelos,509
1664,77575,15 49 45,-96 11 24,-96.19,15.829167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa María Huatulco,413
1674,77580,15 41 46,-93 27 01,-93.450278,15.696111,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Pijijiapan,69
1698,77592,15 39 46,-92 53 38,-92.893889,15.662778,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Pijijiapan,69
1704,77595,15 39 15,-92 45 17,-92.754722,15.654167,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Montecristo de Guerrero,117
1718,77602,15 38 01,-92 25 49,-92.430278,15.633611,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Siltepec,80
1724,77605,15 37 28,-92 17 28,-92.291111,15.624444,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Bella Vista,11
1875,77504,15 53 36,-96 41 59,-96.699722,15.893333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,Santa María Tonameca,439
1895,77514,15 52 33,-96 14 05,-96.234722,15.875833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Miguel del Puerto,266
1914,77523,15 44 37,-93 29 38,-93.493889,15.743611,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Tonalá,97
1916,77524,15 44 28,-93 26 51,-93.4475,15.741111,Chiapas,SURESTE,IMyCA,true,false,false,false,true,false,false,false,,1,,Pijijiapan,69
1946,77539,15 41 57,-92 45 06,-92.751667,15.699167,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Angel Albino Corzo,8
1956,77544,15 41 04,-92 31 12,-92.52,15.684444,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Chicomuselo,30
1976,0,15 39 14,-92 03 23,-92.056389,15.653889,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Frontera Comalapa,34
2130,77425,15 57 26,-97 15 22,-97.256111,15.957222,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
2136,77428,15 57 10,-97 06 60,-97.116667,15.952778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Pedro Mixtepec -Dto. 22 -,318
2148,77434,15 56 35,-96 50 15,-96.8375,15.943056,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Bartolomé Loxicha,117
2150,77435,15 56 30,-96 47 27,-96.790833,15.941667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Bartolomé Loxicha,117
2176,77448,15 55 09,-96 11 10,-96.186111,15.919167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Miguel del Puerto,266
2188,77454,15 54 28,-95 54 26,-95.907222,15.907778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Pedro Huamelula,307
2196,77458,15 47 38,-93 35 03,-93.584167,15.793889,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Tonalá,97
2200,77460,15 47 19,-93 29 28,-93.491111,15.788611,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Tonalá,97
2210,77465,15 46 31,-93 15 33,-93.259167,15.775278,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Pijijiapan,69
2230,77475,15 44 49,-92 47 42,-92.795,15.746944,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Angel Albino Corzo,8
2232,77476,15 44 39,-92 44 55,-92.748611,15.744167,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Angel Albino Corzo,8
2250,0,15 43 03,-92 19 53,-92.331389,15.7175,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Chicomuselo,30
2436,77335,16 01 04,-97 46 00,-97.766667,16.017778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
2456,77345,16 00 13,-97 18 04,-97.301111,16.003611,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
2466,77350,15 59 46,-97 04 07,-97.068611,15.996111,Oaxaca,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,San Pedro Mixtepec -Dto. 22 -,318
2476,77355,15 59 18,-96 50 09,-96.835833,15.988333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Baltazar Loxicha,113
2496,77365,15 58 17,-96 22 14,-96.370556,15.971389,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,true,false,false,,1,,San Mateo Piñas,253
2506,77370,15 57 44,-96 08 16,-96.137778,15.962222,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,San Miguel del Puerto,266
2546,77390,15 49 12,-93 15 23,-93.256389,15.82,Chiapas,SURESTE,INFYS,true,false,true,true,true,true,false,false,,1,,Pijijiapan,69
2556,77395,15 48 22,-93 01 27,-93.024167,15.806111,Chiapas,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,La Concordia,20
2566,77400,15 47 31,-92 47 32,-92.792222,15.791944,Chiapas,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,Angel Albino Corzo,8
2576,77405,15 46 38,-92 33 37,-92.560278,15.777222,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Chicomuselo,30
2811,77256,16 02 45,-97 12 24,-97.206667,16.045833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santos Reyes Nopala,526
2813,77257,16 02 39,-97 09 36,-97.16,16.044167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santos Reyes Nopala,526
2831,77266,16 01 48,-96 44 28,-96.741111,16.03,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Santa Catarina Loxicha,366
2833,77267,16 01 42,-96 41 40,-96.694444,16.028333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa Catarina Loxicha,366
2851,77276,16 00 46,-96 16 32,-96.275556,16.012778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santiago Xanica,495
2853,77277,16 00 39,-96 13 44,-96.228889,16.010833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santiago Xanica,495
2871,77286,15 59 38,-95 48 37,-95.810278,15.993889,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,San Pedro Huamelula,307
2873,0,15 59 31,-95 45 49,-95.763611,15.991944,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Pedro Huamelula,307
2891,0,15 53 21,-93 40 17,-93.671389,15.889167,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Tonalá,97
2893,77297,15 53 12,-93 37 30,-93.625,15.886667,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Tonalá,97
2911,77306,15 51 44,-93 12 25,-93.206944,15.862222,Chiapas,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,Villa Corzo,107
2913,77307,15 51 34,-93 09 38,-93.160556,15.859444,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Pijijiapan,69
2951,77326,15 48 15,-92 16 43,-92.278611,15.804167,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Chicomuselo,30
3163,77145,16 06 38,-97 51 26,-97.857222,16.110556,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,Santiago Jamiltepec,467
3173,77150,16 06 13,-97 37 27,-97.624167,16.103611,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
3183,77155,16 05 48,-97 23 29,-97.391389,16.096667,Oaxaca,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,Santa Catarina Juquila,364
3203,77165,16 04 53,-96 55 32,-96.925556,16.081389,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,true,false,false,false,,1,,San Jerónimo Coatlán,159
3213,77170,16 04 24,-96 41 34,-96.692778,16.073333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa Catarina Loxicha,366
3223,77175,16 03 53,-96 27 36,-96.46,16.064722,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,San Miguel Suchixtepec,279
3233,77180,16 03 21,-96 13 38,-96.227222,16.055833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Juan Ozolotepec,211
3243,77185,16 02 48,-95 59 40,-95.994444,16.046667,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,San Carlos Yautepec,125
3263,0,16 01 37,-95 31 44,-95.528889,16.026944,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Santiago Astata,453
3293,77210,15 54 46,-93 17 50,-93.297222,15.912778,Chiapas,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,Villa Corzo,107
3303,77215,15 53 56,-93 03 53,-93.064722,15.898889,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
3313,77220,15 53 05,-92 49 57,-92.8325,15.884722,Chiapas,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,La Concordia,20
3323,77225,15 52 12,-92 36 02,-92.600556,15.87,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
3333,77230,15 51 19,-92 22 06,-92.368333,15.855278,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Chicomuselo,30
3343,77235,15 50 24,-92 08 11,-92.136389,15.84,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Frontera Comalapa,34
3561,77042,16 09 29,-97 56 57,-97.949167,16.158056,Oaxaca,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,Santa María Huazolotitlán,414
3575,77049,16 08 56,-97 37 22,-97.622778,16.148889,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
3597,77060,16 07 58,-97 06 37,-97.110278,16.132778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,true,false,false,,1,,San Juan Lachao,202
3601,77062,16 07 47,-97 01 02,-97.017222,16.129722,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,true,false,false,,1,,San Jerónimo Coatlán,159
3615,77069,16 07 06,-96 41 28,-96.691111,16.118333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Miguel Coatlán,263
3635,77079,16 06 03,-96 13 31,-96.225278,16.100833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Francisco Ozolotepec,148
3641,77082,16 05 44,-96 05 08,-96.085556,16.095556,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,San Miguel del Puerto,266
3675,0,15 59 31,-93 53 55,-93.898611,15.991944,Chiapas,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Tonalá,97
3677,77100,15 59 22,-93 51 07,-93.851944,15.989444,Chiapas,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Tonalá,97
3685,77104,15 58 45,-93 39 58,-93.666111,15.979167,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tonalá,97
3695,77109,15 57 57,-93 26 01,-93.433611,15.965833,Chiapas,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Tonalá,97
3725,77124,15 55 26,-92 44 12,-92.736667,15.923889,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,La Concordia,20
3735,77129,15 54 33,-92 30 16,-92.504444,15.909167,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
3737,77130,15 54 22,-92 27 29,-92.458056,15.906111,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
3989,76934,16 12 06,-97 54 04,-97.901111,16.201667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa María Huazolotitlán,414
3999,76939,16 11 43,-97 40 05,-97.668056,16.195278,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
4009,76944,16 11 17,-97 26 06,-97.435,16.188056,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Miguel Panixtlahuaca,272
4019,76949,16 10 51,-97 12 07,-97.201944,16.180833,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa María Temaxcaltepec,433
4029,76954,16 10 23,-96 58 08,-96.968889,16.173056,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Jerónimo Coatlán,159
4039,76959,16 09 54,-96 44 09,-96.735833,16.165,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Pablo Coatlán,291
4049,76964,16 09 24,-96 30 10,-96.502778,16.156667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,true,false,false,,1,,San Mateo Río Hondo,254
4059,76969,16 08 52,-96 16 12,-96.27,16.147778,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,true,false,false,,1,,San Juan Ozolotepec,211
4069,76974,16 08 19,-96 02 13,-96.036944,16.138611,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Carlos Yautepec,125
4079,76979,16 07 45,-95 48 15,-95.804167,16.129167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,true,false,false,,1,,Santa María Ecatepec,410
4089,0,16 07 09,-95 34 17,-95.571389,16.119167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santo Domingo Tehuantepec,515
4099,0,16 06 32,-95 20 19,-95.338611,16.108889,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santo Domingo Tehuantepec,515
4102,76991,16 02 49,-94 04 55,-94.081944,16.046944,Oaxaca,CENTRO - SUR,IMyCA,true,false,false,false,false,false,false,false,,1,,San Francisco del Mar,141
4118,76999,16 01 36,-93 42 36,-93.71,16.026667,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tonalá,97
4128,77004,16 00 49,-93 28 39,-93.4775,16.013611,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Villa Corzo,107
4138,77009,15 59 60,-93 14 42,-93.245,16,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Villa Corzo,107
4148,77014,15 59 10,-93 00 45,-93.0125,15.986111,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Villa Corzo,107
4168,77024,15 57 25,-92 32 52,-92.547778,15.956944,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
4430,76814,16 15 20,-98 13 34,-98.226111,16.255556,Oaxaca,CENTRO - SUR,IMyCA,true,false,true,false,true,true,true,false,,1,,Santiago Pinotepa Nacional,482
4438,76818,16 15 02,-98 02 23,-98.039722,16.250556,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,true,false,false,false,,1,,Santiago Pinotepa Nacional,482
4444,0,16 14 49,-97 53 59,-97.899722,16.246944,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santa María Huazolotitlán,414
4458,76828,16 14 15,-97 34 24,-97.573333,16.2375,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Villa de Tututepec de Melchor Ocampo,334
4464,76831,16 13 60,-97 26 00,-97.433333,16.233333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,San Miguel Panixtlahuaca,272
4478,76838,16 13 22,-97 06 25,-97.106944,16.222778,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,true,false,false,false,,1,,San Juan Lachao,202
4484,76841,16 13 05,-96 58 02,-96.967222,16.218056,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Jerónimo Coatlán,159
4498,76848,16 12 24,-96 38 27,-96.640833,16.206667,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,Santa Lucía Miahuatlán,391
4504,76851,16 12 06,-96 30 04,-96.501111,16.201667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Andrés Paxtlán,95
4518,76858,16 11 21,-96 10 30,-96.175,16.189167,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,true,false,false,,1,,San Pedro Mixtepec -Dto. 26 -,319
4524,76861,16 11 01,-96 02 06,-96.035,16.183611,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,San Carlos Yautepec,125
4538,76868,16 10 12,-95 42 32,-95.708889,16.17,Oaxaca,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Magdalena Tequisistlán,52
4544,0,16 09 51,-95 34 09,-95.569167,16.164167,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santo Domingo Tehuantepec,515
4559,76878,16 05 49,-94 10 21,-94.1725,16.096944,Oaxaca,CENTRO - SUR,IMyCA,true,false,false,false,false,false,false,false,,1,,San Francisco del Mar,141
4561,76879,16 05 40,-94 07 33,-94.125833,16.094444,Oaxaca,CENTRO - SUR,INFYS,true,false,true,false,true,false,false,false,,1,,San Francisco del Mar,141
4581,76889,16 04 09,-93 39 39,-93.660833,16.069167,Chiapas,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Tonalá,97
4595,76896,16 03 01,-93 20 06,-93.335,16.050278,Chiapas,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Villa Corzo,107
4601,76899,16 02 32,-93 11 44,-93.195556,16.042222,Chiapas,SURESTE,INFYS,true,false,true,true,true,true,false,false,,1,,Villa Corzo,107
4621,76909,16 00 50,-92 43 51,-92.730833,16.013889,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,La Concordia,20
4635,76916,15 59 35,-92 24 19,-92.405278,15.993056,Chiapas,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Concordia,20
4641,76919,15 59 02,-92 15 58,-92.266111,15.983889,Chiapas,SURESTE,INFYS,true,false,true,false,false,false,false,false,,1,,Tzimol,104
4934,76695,16 17 36,-97 56 42,-97.945,16.293333,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,Santa María Huazolotitlán,414
4944,76700,16 17 12,-97 42 43,-97.711944,16.286667,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Santiago Tetepec,489
4954,76705,16 16 47,-97 28 43,-97.478611,16.279722,Oaxaca,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Tataltepec de Valdés,543
